DEBUG 2018-04-10 11:23:42,971 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - CashTest.Sessions.Dto.UserLoginInfoDto
DEBUG 2018-04-10 11:23:42,971 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - CashTest.Roles.Dto.CreateRoleDto
DEBUG 2018-04-10 11:23:42,971 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - CashTest.Roles.Dto.PermissionDto
DEBUG 2018-04-10 11:23:42,971 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - CashTest.Roles.Dto.RoleDto
DEBUG 2018-04-10 11:23:42,971 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - CashTest.MultiTenancy.Dto.CreateTenantDto
DEBUG 2018-04-10 11:23:42,971 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - CashTest.MultiTenancy.Dto.TenantDto
INFO  2018-04-10 11:23:45,062 [17   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/  
INFO  2018-04-10 11:23:45,908 [17   ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method CashTest.Web.Host.Controllers.HomeController.Index (CashTest.Web.Host) with arguments ((null)) - ModelState is Valid
INFO  2018-04-10 11:23:45,949 [6    ] Core.Mvc.Internal.RedirectResultExecutor - Executing RedirectResult, redirecting to /swagger.
INFO  2018-04-10 11:23:45,953 [6    ] ore.Mvc.Internal.ControllerActionInvoker - Executed action CashTest.Web.Host.Controllers.HomeController.Index (CashTest.Web.Host) in 246.7245ms
INFO  2018-04-10 11:23:45,961 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 928.7557ms 302 
INFO  2018-04-10 11:23:45,966 [14   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger  
INFO  2018-04-10 11:23:45,974 [14   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 8.3831ms 301 
INFO  2018-04-10 11:23:45,980 [5    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/  
INFO  2018-04-10 11:23:45,989 [5    ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/index.html'. Physical path: 'N/A'
INFO  2018-04-10 11:23:45,995 [5    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 15.6922ms 200 text/html
INFO  2018-04-10 11:23:46,008 [16   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/css/typography.css  
INFO  2018-04-10 11:23:46,011 [16   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/css/typography.css'. Physical path: 'N/A'
INFO  2018-04-10 11:23:46,013 [16   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 5.0215ms 200 text/css
INFO  2018-04-10 11:23:46,020 [16   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/css/reset.css  
INFO  2018-04-10 11:23:46,021 [16   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/css/reset.css'. Physical path: 'N/A'
INFO  2018-04-10 11:23:46,022 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/css/screen.css  
INFO  2018-04-10 11:23:46,023 [16   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 3.2036ms 200 text/css
INFO  2018-04-10 11:23:46,023 [17   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/lib/object-assign-pollyfill.js  
INFO  2018-04-10 11:23:46,024 [6    ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/css/screen.css'. Physical path: 'N/A'
